depth,label,qname,2025-01-01→2025-07-01,2025-04-01→2025-07-01,2025-01-08→2025-01-09,2024-12-02→2024-12-03
0,Statement of Cash Flows [Abstract],us-gaap:StatementOfCashFlowsAbstract,,,,
1,"Cash Provided by (Used in) Operating Activity, Including Discontinued Operation [Abstract]",us-gaap:NetCashProvidedByUsedInOperatingActivitiesAbstract,,,,
2,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",us-gaap:ProfitLoss,1610000000,1190000000,,
2,Adjustment to Reconcile Net Income to Cash Provided by (Used in) Operating Activity [Abstract],us-gaap:AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract,,,,
3,Depreciation Amortization And Impairment,tsla:DepreciationAmortizationAndImpairment,2880000000,,,
3,"Share-Based Payment Arrangement, Noncash Expense",us-gaap:ShareBasedCompensation,1208000000,,,
3,Inventory Write-down,us-gaap:InventoryWriteDown,248000000,,,
3,"Unrealized Gain (Loss), Foreign Currency Transaction, before Tax",us-gaap:ForeignCurrencyTransactionGainLossUnrealized,-54000000,,,
3,Deferred Income Tax Expense (Benefit),us-gaap:DeferredIncomeTaxExpenseBenefit,9000000,,,
3,Noncash Interest Income Expense And Other Operating Activities,tsla:NoncashInterestIncomeExpenseAndOtherOperatingActivities,-73000000,,,
3,Gain (Loss) on Digital Assets,tsla:GainLossOnDigitalAssets,159000000,,,
3,"Adjustment to Reconcile Net Income to Cash Provided by (Used in) Operating Activity, Increase (Decrease) in Operating Capital [Abstract]",us-gaap:IncreaseDecreaseInOperatingCapitalAbstract,,,,
4,Increase (Decrease) in Accounts Receivable,us-gaap:IncreaseDecreaseInAccountsReceivable,-601000000,,,
4,Increase (Decrease) in Inventories,us-gaap:IncreaseDecreaseInInventories,2407000000,,,
4,Increase Decrease In Operating Lease Vehicles,tsla:IncreaseDecreaseInOperatingLeaseVehicles,-65000000,,,
4,Increase (Decrease) in Prepaid Expense and Other Assets,us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1137000000,,,
4,Increase (Decrease) in Accounts Payable and Accrued Liabilities,us-gaap:IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1333000000,,,
4,"Increase (Decrease) in Contract with Customer, Liability",us-gaap:IncreaseDecreaseInContractWithCustomerLiability,318000000,,,
2,"Cash Provided by (Used in) Operating Activity, Including Discontinued Operation",us-gaap:NetCashProvidedByUsedInOperatingActivities,4696000000,,,
