2023-12-31,2024-03-31,2024-12-31,2025-03-31
16398000000,11805000000,16139000000,16352000000
,,20424000000,20644000000
,,4418000000,3782000000
,,12017000000,13706000000
,,5362000000,4905000000
,,58360000000,59389000000
,,,
,,,
,,35836000000,37088000000
,,5160000000,5330000000
,,1076000000,951000000
,,150000000,144000000
,,244000000,248000000
,6628000000,6524000000,6687000000
,,4215000000,4942000000
,,122070000000,125111000000
,,12474000000,13471000000
,,10723000000,10802000000
,,3168000000,3243000000
,,2456000000,2237000000
,,28821000000,29753000000
,,5757000000,5292000000
,,3317000000,3610000000
,,10495000000,11038000000
,,48390000000,49693000000
,,0.0,0.0
,,63000000,62000000
,,0,0
,,3000000,3000000
,,38371000000,39456000000
,,-670000000,-424000000
,29508000000,35209000000,35618000000
,,72913000000,74653000000
,,704000000,703000000
,,122070000000,125111000000
