2023-12-31,2024-01-01~2024-03-31,2024-03-31,2024-12-31,2025-01-01~2025-03-31,2025-03-31
,1405000000,,,420000000,
,1246000000,,,1447000000,
,524000000,,,573000000,
,68000000,,,112000000,
,63000000,,,-30000000,
,63000000,,,-43000000,
,5000000,,,-46000000,
,335000000,,,-125000000,
,422000000,,,-630000000,
,2697000000,,,1704000000,
,12000000,,,76000000,
,972000000,,,419000000,
,1247000000,,,706000000,
,195000000,,,309000000,
,242000000,,,2156000000,
,2777000000,,,1492000000,
,6622000000,,,6015000000,
,4315000000,,,5856000000,
,-5084000000,,,-1651000000,
,776000000,,,625000000,
,591000000,,,1301000000,
,251000000,,,313000000,
,106000000,,,48000000,
,0,,,277000000,
,0,,,176000000,
,3000000,,,0,
,30000000,,,22000000,
,101000000,,,0,
,196000000,,,-332000000,
,-79000000,,,40000000,
,-4725000000,,,213000000,
17189000000,,12464000000,17037000000,,17250000000
,1431000000,,,1581000000,
,20000000,,,0,
,406000000,,,342000000,
