,2025-01-01~2025-03-31,2024-01-01~2024-03-31
RevenueFromContractWithCustomerExcludingAssessedTax,19335000000,21301000000
CostOfRevenue,16182000000,17605000000
GrossProfit,3153000000,3696000000
ResearchAndDevelopmentExpense,1409000000,1151000000
SellingGeneralAndAdministrativeExpense,1251000000,1374000000
RestructuringAndOtherExpenses,94000000,0
OperatingExpenses,2754000000,2525000000
OperatingIncomeLoss,399000000,1171000000
InvestmentIncomeInterest,400000000,350000000
InterestExpenseNonoperating,91000000,76000000
OtherNonoperatingIncomeExpense,-119000000,443000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,589000000,1888000000
IncomeTaxExpenseBenefit,169000000,483000000
ProfitLoss,420000000,1405000000
NetIncomeLossAttributableToNoncontrollingInterest,11000000,15000000
NetIncomeLoss,409000000,1390000000
EarningsPerShareBasic,0.13,0.45
EarningsPerShareDiluted,0.12,0.41
WeightedAverageNumberOfSharesOutstandingBasic,3218000000,3186000000
WeightedAverageNumberOfDilutedSharesOutstanding,3521000000,3484000000
