2023-12-31,2024-01-01~2024-06-30,2024-04-01~2024-06-30,2024-06-30,2024-12-31,2025-01-01~2025-06-30,2025-04-01~2025-06-30,2025-06-30
,2821000000,1416000000,,,1610000000,1190000000,
,2524000000,,,,2880000000,,
,963000000,,,,1208000000,,
,146000000,,,,248000000,,
,90000000,,,,-54000000,,
,185000000,,,,9000000,,
,-63000000,,,,-73000000,,
,235000000,,,,159000000,,
,285000000,,,,-601000000,,
,914000000,,,,2407000000,,
,49000000,,,,-65000000,,
,1630000000,,,,1137000000,,
,249000000,,,,1333000000,,
,106000000,,,,318000000,,
,3854000000,,,,4696000000,,
,5049000000,,,,3886000000,,
,14765000000,,,,13500000000,,
,11305000000,,,,12791000000,,
,200000000,,,,0,,
,-8309000000,,,,-4595000000,,
,3895000000,,,,3050000000,,
,1222000000,,,,4129000000,,
,448000000,,,,528000000,,
,206000000,,,,67000000,,
,0,,,,277000000,,
,0,,,,176000000,,
,5000000,,,,1000000,,
,50000000,,,,36000000,,
,124000000,,,,0,,
,2736000000,,,,-554000000,,
,-116000000,,,,151000000,,
,-1835000000,,,,-302000000,,
17189000000,,,15354000000,17037000000,,,16735000000
,2099000000,,,,1639000000,,
,28000000,,,,0,,
,797000000,,,,784000000,,
