,2025-04-01~2025-06-30,2024-04-01~2024-06-30,2025-01-01~2025-06-30,2024-01-01~2024-06-30
RevenueFromContractWithCustomerExcludingAssessedTax,22496000000,25500000000,41831000000,46801000000
CostOfRevenue,18618000000,20922000000,34800000000,38527000000
GrossProfit,3878000000,4578000000,7031000000,8274000000
ResearchAndDevelopmentExpense,1589000000,1074000000,2998000000,2225000000
SellingGeneralAndAdministrativeExpense,1366000000,1277000000,2617000000,2651000000
RestructuringAndOtherExpenses,0,622000000,94000000,622000000
OperatingExpenses,2955000000,2973000000,5709000000,5498000000
OperatingIncomeLoss,923000000,1605000000,1322000000,2776000000
InvestmentIncomeInterest,392000000,348000000,792000000,698000000
InterestExpenseNonoperating,86000000,86000000,177000000,162000000
OtherNonoperatingIncomeExpense,320000000,-80000000,201000000,363000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1549000000,1787000000,2138000000,3675000000
IncomeTaxExpenseBenefit,359000000,371000000,528000000,854000000
ProfitLoss,1190000000,1416000000,1610000000,2821000000
NetIncomeLossAttributableToNoncontrollingInterest,18000000,16000000,29000000,31000000
NetIncomeLoss,1172000000,1400000000,1581000000,2790000000
EarningsPerShareBasic,0.36,0.44,0.49,0.89
EarningsPerShareDiluted,0.33,0.40,0.45,0.81
WeightedAverageNumberOfSharesOutstandingBasic,3223000000,3191000000,3220000000,3189000000
WeightedAverageNumberOfDilutedSharesOutstanding,3519000000,3481000000,3520000000,3483000000
